direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl,capital_after
SHORT,2024-10-06 15:15:00+00:00,0.11126,2024-10-06 15:30:00+00:00,0.11142689,SL,-0.15,-14.1247,9402.3344
SHORT,2024-10-19 02:30:00+00:00,0.14455,2024-10-19 02:45:00+00:00,0.14476683,SL,-0.15,-14.1035,9388.2309
SHORT,2024-11-06 04:00:00+00:00,0.20778,2024-11-06 04:15:00+00:00,0.20809167,SL,-0.15,-14.0823,9374.1486
LONG,2024-11-17 02:30:00+00:00,0.34753,2024-11-17 02:45:00+00:00,0.3470087,SL,-0.15,-14.0612,9360.0874
SHORT,2024-11-23 04:45:00+00:00,0.45639,2024-11-23 05:00:00+00:00,0.45707458,SL,-0.15,-14.0401,9346.0472
LONG,2024-11-26 12:00:00+00:00,0.3791,2024-11-26 12:15:00+00:00,0.37853135,SL,-0.15,-14.0191,9332.0282
SHORT,2024-12-08 04:45:00+00:00,0.47438,2024-12-08 05:00:00+00:00,0.47509157,SL,-0.15,-13.998,9318.0301
SHORT,2024-12-16 17:45:00+00:00,0.40906,2024-12-16 18:15:00+00:00,0.40967359,SL,-0.15,-13.977,9304.0531
LONG,2024-12-20 10:30:00+00:00,0.28841,2024-12-20 10:45:00+00:00,0.28797739,SL,-0.15,-13.9561,9290.097
SHORT,2024-12-21 07:15:00+00:00,0.34586,2024-12-21 07:30:00+00:00,0.34637879,SL,-0.15,-13.9351,9276.1618
SHORT,2024-12-21 08:00:00+00:00,0.3461,2024-12-21 08:15:00+00:00,0.3450617,TP,0.3,27.8285,9303.9903
LONG,2024-12-26 09:00:00+00:00,0.31833,2024-12-26 09:15:00+00:00,0.3178525,SL,-0.15,-13.956,9290.0343
SHORT,2025-01-02 01:00:00+00:00,0.33349,2025-01-02 01:15:00+00:00,0.33399024,SL,-0.15,-13.9351,9276.0993
SHORT,2025-01-03 12:30:00+00:00,0.34884,2025-01-03 12:45:00+00:00,0.34936326,SL,-0.15,-13.9141,9262.1851
SHORT,2025-01-03 14:00:00+00:00,0.36017,2025-01-03 14:15:00+00:00,0.36071026,SL,-0.15,-13.8933,9248.2919
SHORT,2025-01-11 22:15:00+00:00,0.34384,2025-01-11 22:30:00+00:00,0.34280848,TP,0.3,27.7449,9276.0367
SHORT,2025-01-17 09:30:00+00:00,0.40876,2025-01-17 09:45:00+00:00,0.40937314,SL,-0.15,-13.9141,9262.1227
LONG,2025-01-19 23:45:00+00:00,0.35839,2025-01-20 00:00:00+00:00,0.35785242,SL,-0.15,-13.8932,9248.2295
SHORT,2025-01-21 12:30:00+00:00,0.38042,2025-01-21 12:45:00+00:00,0.37927874,TP,0.3,27.7447,9275.9742
LONG,2025-01-27 03:00:00+00:00,0.32889,2025-01-27 03:15:00+00:00,0.32987667,TP,0.3,27.8279,9303.8021
LONG,2025-02-02 18:15:00+00:00,0.27554,2025-02-02 18:30:00+00:00,0.27512669,SL,-0.15,-13.9557,9289.8464
LONG,2025-02-21 22:00:00+00:00,0.23727,2025-02-21 22:15:00+00:00,0.2369141,SL,-0.15,-13.9348,9275.9116
LONG,2025-02-28 03:00:00+00:00,0.19375,2025-02-28 03:15:00+00:00,0.19345938,SL,-0.15,-13.9139,9261.9978
SHORT,2025-03-06 06:00:00+00:00,0.21589,2025-03-06 06:15:00+00:00,0.21524233,TP,0.3,27.786,9289.7838
LONG,2025-03-09 11:15:00+00:00,0.18572,2025-03-09 11:30:00+00:00,0.18544142,SL,-0.15,-13.9347,9275.8491
LONG,2025-03-18 02:15:00+00:00,0.16879,2025-03-18 02:30:00+00:00,0.16853682,SL,-0.15,-13.9138,9261.9353
SHORT,2025-03-24 16:30:00+00:00,0.18127,2025-03-24 16:45:00+00:00,0.1815419,SL,-0.15,-13.8929,9248.0424
SHORT,2025-03-26 08:45:00+00:00,0.2021,2025-03-26 09:00:00+00:00,0.20240315,SL,-0.15,-13.8721,9234.1704
SHORT,2025-04-09 21:30:00+00:00,0.16205,2025-04-09 21:45:00+00:00,0.16229308,SL,-0.15,-13.8513,9220.3191
LONG,2025-04-20 12:00:00+00:00,0.15412,2025-04-20 12:15:00+00:00,0.15388882,SL,-0.15,-13.8305,9206.4886
SHORT,2025-04-22 15:30:00+00:00,0.1703,2025-04-22 15:45:00+00:00,0.17055545,SL,-0.15,-13.8097,9192.6789
SHORT,2025-04-22 22:45:00+00:00,0.17785,2025-04-22 23:00:00+00:00,0.17811678,SL,-0.15,-13.789,9178.8899
SHORT,2025-04-23 00:45:00+00:00,0.17933,2025-04-23 01:00:00+00:00,0.179599,SL,-0.15,-13.7683,9165.1215
LONG,2025-04-28 02:00:00+00:00,0.17565,2025-04-28 02:15:00+00:00,0.17617695,TP,0.3,27.4954,9192.6169
SHORT,2025-05-10 07:15:00+00:00,0.22212,2025-05-10 07:30:00+00:00,0.22245318,SL,-0.15,-13.7889,9178.828
LONG,2025-05-30 01:15:00+00:00,0.20786,2025-05-30 01:30:00+00:00,0.20754821,SL,-0.15,-13.7682,9165.0597
LONG,2025-06-05 21:30:00+00:00,0.17168,2025-06-05 21:45:00+00:00,0.17142248,SL,-0.15,-13.7476,9151.3121
LONG,2025-06-13 01:30:00+00:00,0.17227,2025-06-13 01:45:00+00:00,0.1720116,SL,-0.15,-13.727,9137.5852
LONG,2025-06-20 17:45:00+00:00,0.16167,2025-06-20 18:00:00+00:00,0.1614275,SL,-0.15,-13.7064,9123.8788
SHORT,2025-07-02 17:30:00+00:00,0.17009,2025-07-02 17:45:00+00:00,0.16957973,TP,0.3,27.3716,9151.2504
SHORT,2025-07-06 14:15:00+00:00,0.17098,2025-07-06 14:30:00+00:00,0.17123647,SL,-0.15,-13.7269,9137.5236
SHORT,2025-07-10 23:30:00+00:00,0.19358,2025-07-10 23:45:00+00:00,0.19387037,SL,-0.15,-13.7063,9123.8173
SHORT,2025-07-14 05:45:00+00:00,0.20653,2025-07-14 06:00:00+00:00,0.20591041,TP,0.3,27.3715,9151.1887
SHORT,2025-08-07 12:00:00+00:00,0.21375,2025-08-07 12:15:00+00:00,0.21310875,TP,0.3,27.4536,9178.6423
SHORT,2025-08-07 14:00:00+00:00,0.21331,2025-08-07 14:15:00+00:00,0.21362996,SL,-0.15,-13.768,9164.8743
SHORT,2025-08-24 19:45:00+00:00,0.23418,2025-08-24 20:00:00+00:00,0.23347746,TP,0.3,27.4946,9192.369
LONG,2025-08-25 22:00:00+00:00,0.20775,2025-08-25 22:15:00+00:00,0.20743838,SL,-0.15,-13.7886,9178.5804
SHORT,2025-09-07 15:00:00+00:00,0.22269,2025-09-07 15:15:00+00:00,0.22302404,SL,-0.15,-13.7679,9164.8125
LONG,2025-09-15 09:15:00+00:00,0.26295,2025-09-15 09:30:00+00:00,0.26255558,SL,-0.15,-13.7472,9151.0653
LONG,2025-09-22 06:30:00+00:00,0.24081,2025-09-22 06:45:00+00:00,0.24044878,SL,-0.15,-13.7266,9137.3387
SHORT,2025-10-05 04:00:00+00:00,0.25758,2025-10-05 04:15:00+00:00,0.25796637,SL,-0.15,-13.706,9123.6327
LONG,2025-10-10 16:30:00+00:00,0.23795,2025-10-10 16:45:00+00:00,0.23759308,SL,-0.15,-13.6854,9109.9473
LONG,2025-10-10 21:45:00+00:00,0.18127,2025-10-10 22:00:00+00:00,0.1809981,SL,-0.15,-13.6649,9096.2823
LONG,2025-11-03 05:00:00+00:00,0.17643,2025-11-03 05:15:00+00:00,0.17616536,SL,-0.15,-13.6444,9082.6379
SHORT,2025-11-07 18:30:00+00:00,0.18017,2025-11-07 18:45:00+00:00,0.17962949,TP,0.3,27.2479,9109.8858
LONG,2025-11-28 02:45:00+00:00,0.15102,2025-11-28 03:00:00+00:00,0.15079347,SL,-0.15,-13.6648,9096.221
LONG,2025-12-01 05:15:00+00:00,0.13729,2025-12-01 05:30:00+00:00,0.13708406,SL,-0.15,-13.6443,9082.5767
SHORT,2025-12-02 16:15:00+00:00,0.14508,2025-12-02 16:30:00+00:00,0.14529762,SL,-0.15,-13.6239,9068.9528
LONG,2025-12-12 17:00:00+00:00,0.13619,2025-12-12 17:15:00+00:00,0.13598572,SL,-0.15,-13.6034,9055.3494
SHORT,2025-12-17 15:30:00+00:00,0.13239,2025-12-17 15:45:00+00:00,0.13199283,TP,0.3,27.166,9082.5154
LONG,2025-12-31 18:30:00+00:00,0.11797,2025-12-31 18:45:00+00:00,0.11779305,SL,-0.15,-13.6238,9068.8916
LONG,2025-12-31 19:15:00+00:00,0.11746,2025-12-31 19:30:00+00:00,0.11728381,SL,-0.15,-13.6033,9055.2883
LONG,2025-12-31 20:30:00+00:00,0.1168,2025-12-31 20:45:00+00:00,0.1171504,TP,0.3,27.1659,9082.4542
SHORT,2026-01-01 10:00:00+00:00,0.12035,2026-01-01 10:15:00+00:00,0.12053052,SL,-0.15,-13.6237,9068.8305
SHORT,2026-01-02 23:15:00+00:00,0.14239,2026-01-02 23:30:00+00:00,0.14260358,SL,-0.15,-13.6032,9055.2272
SHORT,2026-01-04 01:15:00+00:00,0.14562,2026-01-04 01:30:00+00:00,0.14583843,SL,-0.15,-13.5828,9041.6444
SHORT,2026-01-13 23:30:00+00:00,0.14801,2026-01-13 23:45:00+00:00,0.14823202,SL,-0.15,-13.5625,9028.0819
LONG,2026-01-19 02:15:00+00:00,0.12718,2026-01-19 02:30:00+00:00,0.12698923,SL,-0.15,-13.5421,9014.5398
LONG,2026-01-21 12:45:00+00:00,0.12279,2026-01-21 13:00:00+00:00,0.12315837,TP,0.3,27.0436,9041.5834
LONG,2026-01-31 09:00:00+00:00,0.11195,2026-01-31 09:15:00+00:00,0.11178208,SL,-0.15,-13.5624,9028.0211
LONG,2026-01-31 15:00:00+00:00,0.10772,2026-01-31 15:15:00+00:00,0.10755842,SL,-0.15,-13.542,9014.479
